"MTU","Out Area","In Area","Physical Flow (MW)"
"28/08/2026 00:00:00 - 28/08/2026 01:00:00","BZN|FR","BZN|BE","140.25"
"28/08/2026 00:00:00 - 28/08/2026 01:00:00","BZN|BE","BZN|FR","0.00"
"28/08/2026 00:00:00 - 28/08/2026 01:00:00","BZN|FR","BZN|CH","0.00"
"28/08/2026 00:00:00 - 28/08/2026 01:00:00","BZN|CH","BZN|FR","1025.42"
"28/08/2026 00:00:00 - 28/08/2026 01:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"28/08/2026 00:00:00 - 28/08/2026 01:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"28/08/2026 00:00:00 - 28/08/2026 01:00:00","BZN|FR","BZN|DE-LU","0.00"
"28/08/2026 00:00:00 - 28/08/2026 01:00:00","BZN|DE-LU","BZN|FR","1791.22"
"28/08/2026 00:00:00 - 28/08/2026 01:00:00","BZN|FR","BZN|ES","0.00"
"28/08/2026 00:00:00 - 28/08/2026 01:00:00","BZN|ES","BZN|FR","764.89"
"28/08/2026 00:00:00 - 28/08/2026 01:00:00","BZN|FR","BZN|GB","2793.31"
"28/08/2026 00:00:00 - 28/08/2026 01:00:00","BZN|GB","BZN|FR","0.00"
"28/08/2026 00:00:00 - 28/08/2026 01:00:00","BZN|FR","BZN|GB(ElecLink)","444.00"
"28/08/2026 00:00:00 - 28/08/2026 01:00:00","BZN|GB(ElecLink)","BZN|FR","0.00"
"28/08/2026 00:00:00 - 28/08/2026 01:00:00","BZN|FR","BZN|GB(IFA)","1857.52"
"28/08/2026 00:00:00 - 28/08/2026 01:00:00","BZN|GB(IFA)","BZN|FR","0.00"
"28/08/2026 00:00:00 - 28/08/2026 01:00:00","BZN|FR","BZN|GB(IFA2)","491.79"
"28/08/2026 00:00:00 - 28/08/2026 01:00:00","BZN|GB(IFA2)","BZN|FR","0.00"
"28/08/2026 00:00:00 - 28/08/2026 01:00:00","BZN|FR","BZN|IT-North","2299.39"
"28/08/2026 00:00:00 - 28/08/2026 01:00:00","BZN|IT-North","BZN|FR","0.00"
"28/08/2026 00:00:00 - 28/08/2026 01:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"28/08/2026 00:00:00 - 28/08/2026 01:00:00","BZN|IT-North-FR","BZN|FR","n/e"
