"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"28/08/2026 00:00:00 - 28/08/2026 01:00:00","Albania (AL)","5.56","5.56","5.56","N/A"
"28/08/2026 01:00:00 - 28/08/2026 02:00:00","Albania (AL)","5.57","5.57","5.57","N/A"
"28/08/2026 02:00:00 - 28/08/2026 03:00:00","Albania (AL)","0.57","0.57","0.57","N/A"
"28/08/2026 03:00:00 - 28/08/2026 04:00:00","Albania (AL)","0.60","0.60","0.60","N/A"
"28/08/2026 04:00:00 - 28/08/2026 05:00:00","Albania (AL)","0.57","0.57","0.57","N/A"
"28/08/2026 05:00:00 - 28/08/2026 06:00:00","Albania (AL)","0.71","0.71","0.71","N/A"
"28/08/2026 06:00:00 - 28/08/2026 07:00:00","Albania (AL)","18.74","18.74","18.74","N/A"
"28/08/2026 07:00:00 - 28/08/2026 08:00:00","Albania (AL)","134.83","134.83","134.83","N/A"
"28/08/2026 08:00:00 - 28/08/2026 09:00:00","Albania (AL)","304.73","304.73","304.73","N/A"
"28/08/2026 09:00:00 - 28/08/2026 10:00:00","Albania (AL)","429.43","429.43","429.43","N/A"
"28/08/2026 10:00:00 - 28/08/2026 11:00:00","Albania (AL)","477.92","477.92","477.92","N/A"
"28/08/2026 11:00:00 - 28/08/2026 12:00:00","Albania (AL)","507.20","507.20","507.20","-"
"28/08/2026 12:00:00 - 28/08/2026 13:00:00","Albania (AL)","501.03","501.03","501.03","-"
"28/08/2026 13:00:00 - 28/08/2026 14:00:00","Albania (AL)","503.92","503.92","503.92","-"
"28/08/2026 14:00:00 - 28/08/2026 15:00:00","Albania (AL)","505.15","505.15","505.15","-"
"28/08/2026 15:00:00 - 28/08/2026 16:00:00","Albania (AL)","457.69","457.69","457.69","-"
"28/08/2026 16:00:00 - 28/08/2026 17:00:00","Albania (AL)","377.44","377.44","377.44","-"
"28/08/2026 17:00:00 - 28/08/2026 18:00:00","Albania (AL)","218.60","218.60","218.60","-"
"28/08/2026 18:00:00 - 28/08/2026 19:00:00","Albania (AL)","73.93","73.93","73.93","-"
"28/08/2026 19:00:00 - 28/08/2026 20:00:00","Albania (AL)","64.62","64.62","64.62","-"
"28/08/2026 20:00:00 - 28/08/2026 21:00:00","Albania (AL)","61.99","61.99","61.99","-"
"28/08/2026 21:00:00 - 28/08/2026 22:00:00","Albania (AL)","1.51","1.51","1.51","-"
"28/08/2026 22:00:00 - 28/08/2026 23:00:00","Albania (AL)","1.49","1.49","1.49","-"
"28/08/2026 23:00:00 - 29/08/2026 00:00:00","Albania (AL)","1.51","1.51","1.51","-"
