"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"28/08/2026 00:00 - 28/08/2026 00:15","Germany (DE)","43524.97","42960.30"
"28/08/2026 00:15 - 28/08/2026 00:30","Germany (DE)","42109.20","42431.28"
"28/08/2026 00:30 - 28/08/2026 00:45","Germany (DE)","41763.26","41812.36"
"28/08/2026 00:45 - 28/08/2026 01:00","Germany (DE)","41485.34","41415.14"
"28/08/2026 01:00 - 28/08/2026 01:15","Germany (DE)","40702.84","41037.31"
"28/08/2026 01:15 - 28/08/2026 01:30","Germany (DE)","40733.05","40555.90"
"28/08/2026 01:30 - 28/08/2026 01:45","Germany (DE)","40921.80","40331.66"
"28/08/2026 01:45 - 28/08/2026 02:00","Germany (DE)","41027.99","39933.51"
"28/08/2026 02:00 - 28/08/2026 02:15","Germany (DE)","41149.21","39695.62"
"28/08/2026 02:15 - 28/08/2026 02:30","Germany (DE)","41295.68","39480.03"
"28/08/2026 02:30 - 28/08/2026 02:45","Germany (DE)","41113.87","39561.37"
"28/08/2026 02:45 - 28/08/2026 03:00","Germany (DE)","41442.91","39456.40"
"28/08/2026 03:00 - 28/08/2026 03:15","Germany (DE)","41068.21","39147.78"
"28/08/2026 03:15 - 28/08/2026 03:30","Germany (DE)","40830.00","39300.87"
"28/08/2026 03:30 - 28/08/2026 03:45","Germany (DE)","40682.61","39344.63"
"28/08/2026 03:45 - 28/08/2026 04:00","Germany (DE)","40181.98","39697.38"
"28/08/2026 04:00 - 28/08/2026 04:15","Germany (DE)","40198.12","40213.90"
"28/08/2026 04:15 - 28/08/2026 04:30","Germany (DE)","40082.19","40432.89"
"28/08/2026 04:30 - 28/08/2026 04:45","Germany (DE)","40474.50","40865.68"
"28/08/2026 04:45 - 28/08/2026 05:00","Germany (DE)","41670.08","41272.85"
"28/08/2026 05:00 - 28/08/2026 05:15","Germany (DE)","43282.79","42179.84"
"28/08/2026 05:15 - 28/08/2026 05:30","Germany (DE)","40864.93","43246.52"
"28/08/2026 05:30 - 28/08/2026 05:45","Germany (DE)","39295.82","44235.97"
"28/08/2026 05:45 - 28/08/2026 06:00","Germany (DE)","38492.74","45464.30"
"28/08/2026 06:00 - 28/08/2026 06:15","Germany (DE)","39545.32","47345.70"
"28/08/2026 06:15 - 28/08/2026 06:30","Germany (DE)","50030.10","48853.71"
"28/08/2026 06:30 - 28/08/2026 06:45","Germany (DE)","50313.81","50104.06"
"28/08/2026 06:45 - 28/08/2026 07:00","Germany (DE)","50491.83","51008.47"
"28/08/2026 07:00 - 28/08/2026 07:15","Germany (DE)","51246.98","52029.34"
"28/08/2026 07:15 - 28/08/2026 07:30","Germany (DE)","52342.12","53247.38"
"28/08/2026 07:30 - 28/08/2026 07:45","Germany (DE)","53663.99","54193.91"
"28/08/2026 07:45 - 28/08/2026 08:00","Germany (DE)","54053.45","54931.90"
"28/08/2026 08:00 - 28/08/2026 08:15","Germany (DE)","54414.97","55529.91"
"28/08/2026 08:15 - 28/08/2026 08:30","Germany (DE)","56348.79","56241.53"
"28/08/2026 08:30 - 28/08/2026 08:45","Germany (DE)","57630.99","56789.61"
"28/08/2026 08:45 - 28/08/2026 09:00","Germany (DE)","58412.83","57330.45"
"28/08/2026 09:00 - 28/08/2026 09:15","Germany (DE)","58116.47","56981.00"
"28/08/2026 09:15 - 28/08/2026 09:30","Germany (DE)","58941.15","57369.19"
"28/08/2026 09:30 - 28/08/2026 09:45","Germany (DE)","59056.19","57613.66"
"28/08/2026 09:45 - 28/08/2026 10:00","Germany (DE)","58466.15","58026.63"
"28/08/2026 10:00 - 28/08/2026 10:15","Germany (DE)","57277.63","57914.62"
