electrical_capacity,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,data_source,nuts_1_region,nuts_2_region,nuts_3_region,lon,lat,municipality,municipality_code,postcode,address,federal_state,commissioning_date,decommissioning_date,voltage_level,eeg_id,dso,dso_id,tso
0.08,Renewable energy,Bioenergy,Sewage and landfill gas,Sewage and landfill gas,TransnetBW,DE1,DE13,DE135,8.578018405,48.29242877,Oberndorf,8325045,78727.0,,Baden-Württemberg,1900-01-02,,medium voltage,,Netze BW GmbH,10000843.0,TransnetBW
0.015,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE25,DE25C,10.88156233,48.96399433,,9577173,91757.0,,Brandenburg,1901-01-01,,low voltage,,Stadtwerke Treuchtlingen,10001282.0,TenneT
0.055,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE14,DE148,9.664272955,47.84613128,Baienfurt,8436011,88255.0,,Baden-Württemberg,1901-01-01,,low voltage / medium voltage,,Netze BW GmbH,10000843.0,TransnetBW
0.12,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE14,DE148,9.664272955,47.84613128,Baienfurt,8436011,88255.0,,Baden-Württemberg,1901-01-01,,low voltage,,Netze BW GmbH,10000843.0,TransnetBW
0.044,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE12,DE128,8.775570795,49.35553908,Bammental,8125005,69245.0,,Baden-Württemberg,1901-07-01,,low voltage,,Syna GmbH,10001495.0,TransnetBW
0.08,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE12,DE128,8.775570795,49.35553908,Bammental,8125005,69245.0,,Baden-Württemberg,1901-11-01,,low voltage,,Syna GmbH,10001495.0,TransnetBW
0.05,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE11,DE11A,9.853297113,49.16269351,Unterscheffach,8127099,74549.0,,Baden-Württemberg,1904-01-01,,low voltage,,Elektrizitätswerk Ley,10000358.0,TransnetBW
0.0075,Renewable energy,Hydro,,Run-of-river,50Hertz,DED,DED2,DED2E,13.44652411,51.09284122,,14627020,1665.0,,Sachsen,1905-01-01,,low voltage,,ENSO NETZ GmbH,10001874.0,50Hertz
0.055,Renewable energy,Hydro,,Run-of-river,Amprion,DEA,DEA2,DEA24,7.040958034,51.07514643,Leverkusen,5316000,51381.0,,Nordrhein-Westfalen,1905-01-01,,low voltage,,Rheinische NETZGesellschaft mbH,10001817.0,Amprion
0.7,Renewable energy,Hydro,,Run-of-river,Amprion,DEA,DEA2,DEA2A,7.430415864,50.98411445,Engelskirchen,5374008,51766.0,,Nordrhein-Westfalen,1905-04-10,,medium voltage,,Rheinische NETZGesellschaft mbH,10001817.0,Amprion
1.2,Renewable energy,Hydro,,Run-of-river,Amprion,DEA,DEA2,DEA2A,7.430415864,50.98411445,Engelskirchen,5374008,51766.0,,Nordrhein-Westfalen,1905-04-15,,medium voltage,,Rheinische NETZGesellschaft mbH,10001817.0,Amprion
0.8,Renewable energy,Hydro,,Run-of-river,Amprion,DEA,DEA2,DEA2A,7.430415864,50.98411445,Engelskirchen,5374008,51766.0,,Nordrhein-Westfalen,1905-04-16,,medium voltage,,Rheinische NETZGesellschaft mbH,10001817.0,Amprion
0.04,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE14,DE144,9.979264573,48.43354223,Ulm,8421000,89081.0,,Baden-Württemberg,1905-04-19,,medium voltage,,Stadtwerke Ulm/Neu-Ulm Netze GmbH,10001254.0,TransnetBW
0.4,Renewable energy,Hydro,,Run-of-river,Amprion,DEA,DEA2,DEA2A,7.430415864,50.98411445,Engelskirchen,5374008,51766.0,,Nordrhein-Westfalen,1905-04-22,,medium voltage,,Rheinische NETZGesellschaft mbH,10001817.0,Amprion
0.055,Renewable energy,Hydro,,Run-of-river,Amprion,DE2,DE27,DE272,10.62483932,47.88362047,Kaufbeuren,9762000,87600.0,,Bayern,1905-05-04,,low voltage,,Vereinigte Wertach-Elektrizitätswerke GmbH,10000140.0,Amprion
0.56,Renewable energy,Hydro,,Run-of-river,Amprion,DEA,DEA2,DEA2A,7.430415864,50.98411445,Engelskirchen,5374008,51766.0,,Nordrhein-Westfalen,1905-05-08,,medium voltage,,Rheinische NETZGesellschaft mbH,10001817.0,Amprion
0.09,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE2,DE26,DE26C,9.95438309,49.51209447,Röttingen / Röttingen,9679182,97285.0,,Bayern,1905-06-26,,low voltage,,Versorgungsbetriebe Röttingen,10001075.0,TransnetBW
1.053,Renewable energy,Bioenergy,Biomass and biogas,Biomass and biogas,TransnetBW,DE2,DE27,DE27D,10.63753985,48.8439812,Alerheim,8115010,86733.0,,Bayern,1905-06-27,,medium voltage,,Netzgesellschaft Ostwürttemberg DonauRies GmbH,10002974.0,TransnetBW
0.03,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21K,12.01591182,47.87472388,,9187117,83043.0,,Brandenburg,1906-01-01,,low voltage,,Stadtwerke Bad Aibling,10001093.0,TenneT
0.175,Renewable energy,Hydro,,Run-of-river,TenneT,DEF,DEF0,DEF0B,10.02769268,54.34292716,Quarnbek,1058130,24107.0,,Saarland,1906-01-01,,medium voltage,,SW Kiel Netz GmbH,10001113.0,TenneT
0.45,Renewable energy,Hydro,,Run-of-river,TenneT,DE7,DE73,DE737,10.04106922,51.17928314,Eschwege,6636003,37269.0,,Hamburg,1906-01-01,,low voltage,,Stadtwerke Eschwege GmbH,10000668.0,TenneT
0.3,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21K,12.01591182,47.87472388,Bad Aibling,9187117,83043.0,,Brandenburg,1906-01-01,,low voltage,,Stadtwerke Bad Aibling,10001093.0,TenneT
0.45,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21M,12.67651744,47.80871639,Siegsdorf,9189145,83313.0,,Brandenburg,1906-01-01,,low voltage,,Elektrizitätsgenossenschaft Vogling & Angrenzer eG,10000782.0,TenneT
0.04,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21K,12.01591182,47.87472388,Bad Aibling,9187117,83043.0,,Brandenburg,1906-01-01,,low voltage,,Stadtwerke Bad Aibling,10001093.0,TenneT
0.03,Renewable energy,Hydro,,Run-of-river,TenneT,DE7,DE73,DE737,10.04106922,51.17928314,,6636003,37269.0,,Hamburg,1906-09-01,,low voltage,,Elektrizitätswerk Rohmund GmbH,10000052.0,TenneT
0.05,Renewable energy,Hydro,,Run-of-river,TenneT,DE7,DE73,DE737,10.04106922,51.17928314,Eschwege-Niederhone,6636003,37269.0,,Hamburg,1906-09-01,,low voltage,,Elektrizitätswerk Rohmund GmbH,10000052.0,TenneT
0.266,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21F,11.69393941,47.7011094,Bad Wiessee,9182111,83707.0,,Brandenburg,1907-01-01,,low voltage / medium voltage,,Elektrizitätswerk Tegernsee Carl Miller KG,10000988.0,TenneT
0.022,Renewable energy,Hydro,,Run-of-river,TransnetBW,DE1,DE14,DE142,8.948272741,48.46313452,,8416036,72108.0,,Baden-Württemberg,1907-01-01,,medium voltage,,Netze BW GmbH,10000843.0,TransnetBW
0.011,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE214,12.67202933,48.22349666,,9171111,84503.0,,Brandenburg,1907-01-01,,low voltage,,Bayernwerk Netz GmbH,10001041.0,TenneT
0.06,Renewable energy,Hydro,,Run-of-river,TenneT,DEF,DEF0,DEF0A,10.55954152,54.31379928,Helmstorf,1057026,24321.0,,Saarland,1907-01-01,,low voltage,,Schleswig-Holstein Netz AG,10003299.0,TenneT
0.15,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE217,11.55130967,48.32021921,Haimhausen,9174121,85778.0,,Brandenburg,1907-01-01,,low voltage / medium voltage,,E-Werke Haniel Haimhausen OHG,10000813.0,TenneT
0.09,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21K,12.16742706,47.85589916,Stephanskirchen,9187177,83071.0,,Brandenburg,1907-01-01,,low voltage,,Bayernwerk Netz GmbH,10001041.0,TenneT
0.022,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21N,11.12956446,47.80798866,,9190142,82398.0,,Brandenburg,1907-01-01,,low voltage,,Bayernwerk Netz GmbH,10001041.0,TenneT
0.0075,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE26,DE266,10.44407506,50.34512982,,9673113,97633.0,,Brandenburg,1907-01-01,,low voltage,,Bayernwerk Netz GmbH,10001041.0,TenneT
0.16,Renewable energy,Hydro,,Run-of-river,TenneT,DE2,DE21,DE21K,12.13511176,47.66961338,Oberaudorf,9187157,83080.0,,Brandenburg,1907-01-01,,medium voltage,,Bayernwerk Netz GmbH,10001041.0,TenneT
