utc_timestamp,cet_cest_timestamp,CY_load_actual_entsoe_transparency,CY_load_forecast_entsoe_transparency,CY_wind_onshore_generation_actual,GB_GBN_load_actual_entsoe_transparency,GB_GBN_load_forecast_entsoe_transparency,GB_GBN_solar_capacity,GB_GBN_solar_generation_actual,GB_GBN_solar_profile,GB_GBN_wind_capacity,GB_GBN_wind_generation_actual,GB_GBN_wind_profile,GB_GBN_wind_offshore_capacity,GB_GBN_wind_offshore_generation_actual,GB_GBN_wind_offshore_profile,GB_GBN_wind_onshore_capacity,GB_GBN_wind_onshore_generation_actual,GB_GBN_wind_onshore_profile,GB_NIR_load_actual_entsoe_transparency,GB_NIR_load_forecast_entsoe_transparency,GB_NIR_solar_capacity,GB_NIR_wind_onshore_capacity,GB_NIR_wind_onshore_generation_actual,GB_UKM_load_actual_entsoe_transparency,GB_UKM_load_forecast_entsoe_transparency,GB_UKM_solar_capacity,GB_UKM_solar_generation_actual,GB_UKM_wind_capacity,GB_UKM_wind_generation_actual,GB_UKM_wind_offshore_capacity,GB_UKM_wind_offshore_generation_actual,GB_UKM_wind_onshore_capacity,GB_UKM_wind_onshore_generation_actual,IE_load_actual_entsoe_transparency,IE_load_forecast_entsoe_transparency,IE_wind_onshore_generation_actual,IE_sem_load_actual_entsoe_transparency,IE_sem_load_forecast_entsoe_transparency,IE_sem_price_day_ahead,IE_sem_wind_onshore_generation_actual
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31T23:30:00Z,2015-01-01T00:30:00+0100,,,,,,2664.0000,,,11554.0000,,,4040.0000,,,7514.0000,,,,,,659.0000,,,,2664.0000,,12212.0000,,4040.0000,,8173.0000,,,,,,,,
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,,,,,,2669.0000,,,11555.0000,,,4040.0000,,,7516.0000,,,,,,659.0000,,,,2669.0000,,12214.0000,,4040.0000,,8174.0000,,,,,,,,
2015-01-01T00:30:00Z,2015-01-01T01:30:00+0100,,,,26758.0000,32057.0000,2669.0000,,,11555.0000,,,4040.0000,,,7516.0000,,,849.0000,,,659.0000,385.3300,27607.0000,,2669.0000,,12214.0000,,4040.0000,,8174.0000,385.3300,2832.3700,3550.0000,1335.8800,3681.3700,,,1721.2100
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,,,,27561.0000,32135.0000,2669.0000,,,11555.0000,,,4040.0000,,,7516.0000,,,797.0000,,,659.0000,385.5500,28358.0000,,2669.0000,,12214.0000,,4040.0000,,8174.0000,1050.0400,2726.2000,3403.0000,1289.6900,3523.2000,,,1675.2400
2015-01-01T01:30:00Z,2015-01-01T02:30:00+0100,,,,26770.0000,31342.0000,2669.0000,,,11555.0000,781.5800,0.0676,4040.0000,117.0900,0.0290,7516.0000,664.4900,0.0884,768.0000,,,659.0000,366.8100,27538.0000,,2669.0000,,12214.0000,1148.3900,4040.0000,117.0900,8174.0000,1031.3000,2629.7400,3262.0000,1252.3800,3397.7400,,,1619.1900
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,,,,25318.0000,30904.0000,2669.0000,,,11555.0000,785.3200,0.0680,4040.0000,119.5800,0.0296,7516.0000,665.7400,0.0886,745.0000,,,659.0000,365.8600,26063.0000,,2669.0000,,12214.0000,1151.1800,4040.0000,119.5800,8174.0000,1031.6000,2487.6100,3113.0000,1282.5600,3232.6100,,,1648.4200
2015-01-01T02:30:00Z,2015-01-01T03:30:00+0100,,,,23625.0000,30477.0000,2669.0000,,,11555.0000,785.3200,0.0680,4040.0000,119.5800,0.0296,7516.0000,665.7400,0.0886,732.0000,,,659.0000,342.3900,24357.0000,,2669.0000,,12214.0000,1127.7100,4040.0000,119.5800,8174.0000,1008.1300,2376.8500,2982.0000,1205.8500,3108.8500,,,1548.2400
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,,,,23145.0000,29244.0000,2669.0000,,,11555.0000,776.6400,0.0672,4040.0000,114.1000,0.0282,7516.0000,662.5400,0.0882,697.0000,,,659.0000,279.6800,23842.0000,,2669.0000,,12214.0000,1056.3200,4040.0000,114.1000,8174.0000,942.2200,2311.8400,2870.0000,1175.3800,3008.8400,,,1455.0600
2015-01-01T03:30:00Z,2015-01-01T04:30:00+0100,,,,22861.0000,27640.0000,2669.0000,,,11555.0000,776.1300,0.0672,4040.0000,115.2200,0.0285,7516.0000,660.9100,0.0879,683.0000,,,659.0000,273.8200,23544.0000,,2669.0000,,12214.0000,1049.9500,4040.0000,115.2200,8174.0000,934.7300,2239.7400,2790.0000,1148.8900,2922.7400,,,1422.7100
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,,,,21672.0000,26426.0000,2669.0000,,,11555.0000,776.1300,0.0672,4040.0000,115.2200,0.0285,7516.0000,660.9100,0.0879,654.0000,,,659.0000,275.2300,22326.0000,,2669.0000,,12214.0000,1051.3600,4040.0000,115.2200,8174.0000,936.1400,2166.5200,2709.0000,1113.0300,2820.5200,,,1388.2600
2015-01-01T04:30:00Z,2015-01-01T05:30:00+0100,,,,21992.0000,25529.0000,2669.0000,,,11555.0000,769.1700,0.0666,4040.0000,111.8700,0.0277,7516.0000,657.3000,0.0875,634.0000,,,659.0000,275.1300,22626.0000,,2669.0000,,12214.0000,1044.3000,4040.0000,111.8700,8174.0000,932.4300,2179.9300,2636.0000,1249.9900,2813.9300,,,1525.1200
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,,,,21733.0000,24662.0000,2669.0000,,,11555.0000,769.1700,0.0666,4040.0000,111.8700,0.0277,7516.0000,657.3000,0.0875,614.0000,,,659.0000,266.6800,22347.0000,,2669.0000,,12214.0000,1035.8500,4040.0000,111.8700,8174.0000,923.9800,2139.6900,2580.0000,1284.7500,2753.6900,,,1551.4300
2015-01-01T05:30:00Z,2015-01-01T06:30:00+0100,,,,20634.0000,24628.0000,2669.0000,,,11555.0000,761.9900,0.0659,4040.0000,106.8800,0.0265,7516.0000,655.1100,0.0872,602.0000,,,659.0000,273.7800,21236.0000,,2669.0000,,12214.0000,1035.7700,4040.0000,106.8800,8174.0000,928.8900,2131.7200,2559.0000,1341.6200,2733.7200,,,1615.4000
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,,,,20629.0000,24982.0000,2669.0000,,,11555.0000,761.9900,0.0659,4040.0000,106.8800,0.0265,7516.0000,655.1100,0.0872,600.0000,,,659.0000,281.5800,21229.0000,,2669.0000,,12214.0000,1043.5700,4040.0000,106.8800,8174.0000,936.6900,2154.6700,2552.0000,1465.6800,2754.6700,,,1747.2600
2015-01-01T06:30:00Z,2015-01-01T07:30:00+0100,,,,21039.0000,25209.0000,2669.0000,,,11555.0000,764.9500,0.0662,4040.0000,104.8700,0.0260,7516.0000,660.0800,0.0878,599.0000,,,659.0000,289.8700,21638.0000,,2669.0000,,12214.0000,1054.8200,4040.0000,104.8700,8174.0000,949.9500,2177.5500,2548.0000,1501.5700,2776.5500,,31.9100,1791.4400
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,,,,21439.0000,25451.0000,2669.0000,,,11555.0000,764.9500,0.0662,4040.0000,104.8700,0.0260,7516.0000,660.0800,0.0878,607.0000,,,659.0000,279.0600,22046.0000,,2669.0000,,12214.0000,1044.0100,4040.0000,104.8700,8174.0000,939.1400,2197.7800,2564.0000,1520.8500,2804.7800,,29.5700,1799.9100
2015-01-01T07:30:00Z,2015-01-01T08:30:00+0100,,,,22342.0000,25616.0000,2669.0000,,,11555.0000,792.0000,0.0685,4040.0000,116.7500,0.0289,7516.0000,675.2500,0.0898,616.0000,,,659.0000,294.8500,22958.0000,,2669.0000,,12214.0000,1086.8500,4040.0000,116.7500,8174.0000,970.1000,2232.0500,2567.0000,1528.3100,2848.0500,,29.5700,1823.1600
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,,,,22334.0000,26182.0000,2669.0000,,,11555.0000,820.3400,0.0710,4040.0000,127.4200,0.0315,7516.0000,692.9200,0.0922,635.0000,,,659.0000,304.5700,22969.0000,,2669.0000,,12214.0000,1124.9100,4040.0000,127.4200,8174.0000,997.4900,2246.2100,2529.0000,1532.5300,2881.2100,,29.5700,1837.1000
2015-01-01T08:30:00Z,2015-01-01T09:30:00+0100,,,,23940.0000,27310.0000,2669.0000,,,11555.0000,820.3400,0.0710,4040.0000,127.4200,0.0315,7516.0000,692.9200,0.0922,660.0000,,,659.0000,290.8900,24600.0000,,2669.0000,,12214.0000,1111.2300,4040.0000,127.4200,8174.0000,983.8100,2228.6300,2501.0000,1405.5500,2888.6300,,29.5700,1696.4400
